1;Open            ;0.0  ;0     ;0     ;0     ;1
2;MPIAA lens 2    ;45.0 ;60000 ;30000 ;64000 ;2
3;PIAACMC lens 2  ;90.0 ;26320 ;14900 ;110000;2
4;PIAA FibInj 2   ;135.0;60410 ;31570 ;73100 ;2
5;Original PIAA 2 ;180.0;50350 ;18800 ;64000 ;2
6;Wedge for vAPP1 ;225.0;0     ;0     ;0     ;2
7;Open            ;270.0;0     ;0     ;0     ;1
8;K-band narrowbd ;315.0;0     ;0     ;0     ;0
